"Id","Name","Hex__c"
"a1k4x000002iVOFAA2","Navy/ Red Stripe","#182129"
"a1k4x000002iVOGAA2","Navy/ Khaki Stripe","#182129"
"a1k4x000002iVOHAA2","Silver","#999496"
"a1k4x000002iVOIAA2","ML-Medium Blue/ Light Blue","#1a1618"
"a1k4x000002iVOJAA2","Light Green","#65746d"
"a1k4x000002iVOKAA2","Postman Blue","#324461"
"a1k4x000002iVOLAA2","Spruce Green","#394946"
"a1k4x000002iVOMAA2","Grey","#918f98"
"a1k4x000002iVONAA2","Denim Blue Microcheck","#1a1618"
"a1k4x000002iVOOAA2","Light Grey","#9c958f"
"a1k4x000002iVOPAA2","Chocolate Brown","#23211f"
"a1k4x000002iVOQAA2","Charcoal/ Red/ White Stripe","#363840"
"a1k4x000002iVORAA2","White","#f4f6f6"
"a1k4x000002iVOSAA2","Red","#b82132"
"a1k4x000002iVOTAA2","Light Tan","#ad9e8b"
"a1k4x000002iVZKAA2","Navy","#182129"
"a1k4x000002iVZLAA2","Charcoal","#363840"
"a1k4x000002iVZMAA2","Grey","#918f98"
"a1k4x000002iVZNAA2","Navy","#182129"
"a1k4x000002iVZOAA2","Light Blue","#6d94ca"
"a1k4x000002iVZPAA2","Black","#1a1618"
"a1k4x000002iVZQAA2","Light Blue","#6d94ca"
